Sentences,BIO tags,Animated_NP
Herr Präsident,"['B', 'I']","[1, 1]"
Meine sehr verehrten Damen und Herren,"['B', 'I', 'I', 'I', 'O', 'B']","[1, 1, 1, 1, 0, 1]"
Liebe Kolleginnen,"['B', 'I']","[1, 1]"
Liebe Kollegen,"['B', 'I']","[1, 1]"
Die landwirtschaftlichen Betriebe in Deutschland erzeugen weltweit die hochwertigsten Lebensmittel,"['B', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
Sie erfüllen dabei die allerhöchsten Umweltstandards in den Bereichen Biodiversität und Trinkwasserqualität und viele andere umweltpolitische Anforderungen,"['B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Etwa jeder siebte Erwerbstätige in Deutschland ist mittelbar oder unmittelbar im Agrarbereich tätig,"['B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Insbesondere in sogenannten strukturschwachen Regionen und in Krisenzeiten sind es häufig genug unsere mittelständischen , familiengeführten landwirtschaftlichen Betriebe , die Menschen einen sicheren Arbeitsplatz gewähren","['O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
"Ich sage unumwunden : Ich bin stolz auf die Landwirte in Deutschland und die tollen Leistungen , die sie jahrein , jahraus für uns erbringen","['B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'O']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Trotzdem fühlen sich viele Landwirte gegenwärtig von der Politik ein Stück weit im Stich gelassen , vielleicht auch , weil sie das Gefühl haben , dass sie von einem Teil der Gesellschaft – häufig genug übrigens von dem Teil , der gerade nicht auf dem Land , sondern in den Städten wohnt – sozusagen als Buhmann für eine ganze Reihe von gesellschaftlichen Herausforderungen , die wir eigentlich gemeinsam bewältigen müssten , abgestempelt werden : Boden- , Luft- und Gewässerreinhaltung , Tierschutz , MRSA , Artenvielfalt","['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'O', 'B']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Es ist leicht , mehr Fläche für Nutztiere zu fordern oder andere Standards erhöhen zu wollen","['B', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Wenn man aber gleichzeitig beim Discounter um die Ecke nur 99 Cent für eine Putenbrust ausgeben will , dann sind das zwei Punkte , die nicht zueinanderpassen","['O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Wer höhere Standards fordert , muss auch bereit sein , einen höheren Preis für die entsprechenden Leistungen und Produkte zu bezahlen , meine Damen und Herren","['B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
"Meine Fraktion wird sich in den kommenden Jahren nicht an dem Bauern-Bashing , das immer mehr die Runde macht , beteiligen","['B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Deswegen möchte ich auch nur ganz am Rande auf die , wie ich finde und wie wir finden , unsägliche Kampagne zu sprechen kommen , die es im letzten Jahr gegeben hat , als seitens des Umweltministeriums die „ neuen Bauernregeln “ – die Branchenkenner werden sich erinnern – ausgegeben wurden","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
"Ich kann mich nicht daran erinnern , dass sich jemals ein ganzer Berufszweig durch eine solche Kampagne derart gekränkt , diffamiert und dauerhaft in seiner Berufsehre verletzt gefühlt hat","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Wer pauschal einen Berufszweig derart verunglimpft , der hat nie recht","['B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Diese Kampagne seinerzeit ist unerträglich gewesen , meine Damen und Herren","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
Natürlich gibt es schwarze Schafe,"['O', 'O', 'O', 'B', 'I']","[0, 0, 0, 1, 1]"
"Die gibt es in jedem Beruf , und die gibt es damit – das liegt in der Natur der Sache – auch unter Landwirten","['B', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'B']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
