Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
"Meine Damen und Herren , beim Kampf gegen den IS – genau darum geht es bei dem Mandat , das wir heute verlängern – sind drei Dinge entscheidend .","[START] Meine Damen [END] und [START] Herren [END] , beim [START] Kampf [END] gegen [START] den IS [END] – genau darum geht es bei [START] dem Mandat [END] , [START] das [END] [START] wir [END] heute verlängern – sind [START] drei Dinge [END] entscheidend .","['B', 'I', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Erstens .,Erstens .,"['O', 'O']",[],,"[0, 0]",
"Ohne ein genaues Bild davon , wo sich der IS am Boden aufhält und wo er wieder erstarkt , werden wir die bisherigen Erfolge im Kampf gegen den IS nicht sichern können .","Ohne [START] ein genaues Bild [END] davon , wo [START] sich [END] [START] der IS [END] am [START] Boden [END] aufhält und wo [START] er [END] wieder erstarkt , werden [START] wir [END] [START] die bisherigen Erfolge [END] im [START] Kampf [END] gegen [START] den IS [END] nicht sichern können .","['O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Daher ist es gerade jetzt ganz besonders wichtig , die Luftaufklärung bis Ende März nächsten Jahres weiterzuführen und sie dann in andere Hände zu übergeben .","Daher ist [START] es [END] gerade jetzt ganz besonders wichtig , [START] die Luftaufklärung [END] bis [START] Ende März [END] [START] nächsten Jahres [END] weiterzuführen und [START] sie [END] dann in [START] andere Hände [END] zu übergeben .","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Zweitens .,Zweitens .,"['O', 'O']",[],,"[0, 0]",
"Wir müssen alles dafür tun , dass der IS nicht erneut im Irak Fuß fasst .","[START] Wir [END] müssen [START] alles [END] dafür tun , dass [START] der IS [END] nicht erneut im [START] Irak [END] [START] Fuß [END] fasst .","['B', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'B', 'O', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das Land hat nach dem Ende der IS-Terrorherrschaft große Fortschritte erzielt ; davon kann sich vor Ort jeder überzeugen .,[START] Das Land [END] hat nach [START] dem Ende [END] [START] der IS-Terrorherrschaft [END] [START] große Fortschritte [END] erzielt ; davon kann [START] sich [END] vor [START] Ort [END] [START] jeder [END] überzeugen .,"['B', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Der Irak spielt mittlerweile eine sehr ausgleichende Rolle bei allen Konflikten in der Region .,[START] Der Irak [END] spielt mittlerweile [START] eine sehr ausgleichende Rolle [END] bei [START] allen Konflikten [END] in [START] der Region [END] .,"['B', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Millionen Flüchtlinge konnten zurückkehren .,[START] Millionen Flüchtlinge [END] konnten zurückkehren .,"['B', 'I', 'O', 'O', 'O']",[0],,"[0, 0, 0, 0, 0]",
Das wollen wir auch in anderen Regionen ermöglichen .,[START] Das [END] wollen [START] wir [END] auch in [START] anderen Regionen [END] ermöglichen .,"['B', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
