Sentences,BIO tags,Animated_NP
Sehr geehrte Frau Präsidentin,"['B', 'I', 'I', 'I']","[1, 1, 1, 1]"
Meine sehr geehrten Damen und Herren,"['B', 'I', 'I', 'I', 'O', 'B']","[1, 1, 1, 1, 0, 1]"
Der Kollege von der AfD hat von einem kranken Land und von Pariser Nonsenszielen gesprochen,"['B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O']","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ich glaube , das ist der falsche Ansatz","['B', 'O', 'O', 'B', 'O', 'B', 'I', 'I']","[1, 0, 0, 0, 0, 0, 0, 0]"
"Es ist auch ein bisschen traurig und beschämend , so in eine Debatte einzutreten , die auch aus unserer Sicht extrem wichtig ist und hier prominent geführt werden muss","['B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ich danke den Grünen für diesen Antrag , der die Gelegenheit bietet , mit ein paar Unklarheiten aufzuräumen","['B', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'O']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Bei COP 23 ging es eben nicht um die nationalen Ziele für 2020 , sondern um die Ziele für 2030 und 2050. Außerdem schreiben die Grünen in ihrem Antrag , dass internationales Reden und nationales Handeln auseinanderklaffen","['O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dabei sind es doch gerade die Diskussionen um das nationale Klein-Klein , die den Blick auf das große Ganze verstellen","['O', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'O', 'B', 'I', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ich denke , auch Sie von den Grünen stimmen mir zu , dass es dem Klima egal ist , wo auf der Welt welche Tonne CO 2 in die Luft geblasen wird","['B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O']","[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Wir sind uns – da bin ich mir sicher – einig : Die weltweiten Emissionen sind zu hoch,"['B', 'O', 'B', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O']","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Doch während Sie meinen , dieses Problem mit einer Art Klimanationalismus bekämpfen zu können , denken wir bei diesem Thema global","['O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Was nützt es denn , wenn wir in Deutschland unsere Emissionen verringern und , so wie es bisher der Fall ist , jede Tonne , die wir einsparen , durch den europäischen Emissionshandel in unseren Nachbarländern zusätzlich produziert wird","['B', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Offensichtlich gar nichts,"['B', 'I', 'I']","[0, 0, 0]"
"Diese Erkenntnis haben wir Freien Demokraten nicht exklusiv , sondern das ist auch die Position des Weltklimarates","['B', 'I', 'O', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'I']","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Dessen fünften Sachstandsbericht hat die Bundestagsfraktion der Grünen in einer Pressemitteilung wörtlich als Handlungsauftrag an die Bundesregierung bezeichnet,"['B', 'O', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
