Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
"Gerade junge Menschen haben Bedenken , was die Impfung betrifft .","[START] Gerade junge Menschen [END] haben [START] Bedenken [END] , [START] was [END] [START] die Impfung [END] betrifft .","['B', 'I', 'I', 'O', 'B', 'O', 'B', 'B', 'I', 'O', 'O']","[1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
"Gilt das nur für ein Jahr , oder denken Sie dabei an eine mehrjährige Aufhebung der Schonzeit ?","Gilt [START] das [END] nur für [START] ein Jahr [END] , oder denken [START] Sie [END] dabei an [START] eine mehrjährige Aufhebung [END] [START] der Schonzeit [END] ?","['O', 'B', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Ich frage : Wie klein will sich die SPD noch machen ?,[START] Ich [END] frage : Wie klein will [START] sich [END] [START] die SPD [END] noch machen ?,"['B', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'O', 'O', 'O']","[1, 0, 1]",,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",
"Verzögerungen im Stromnetzausbau , die insbesondere von Süddeutschland ausgehen , haben auch negative Auswirkungen auf Süddeutschland .","[START] Verzögerungen [END] im [START] Stromnetzausbau [END] , [START] die [END] insbesondere von [START] Süddeutschland [END] ausgehen , haben [START] auch negative Auswirkungen [END] auf [START] Süddeutschland [END] .","['B', 'O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Frau Präsidentin !,[START] Frau Präsidentin [END] !,"['B', 'I', 'O']",[1],,"[1, 1, 0]",
"Aber nicht nur diese lebenswichtigen Zukunftsinvestitionen sparen sich Bund , Länder und Gemeinden – den Gemeinden wird es mehr aufgezwungen – , Bundes- und Landesregierung fahren auch die bestehende öffentliche Infrastruktur auf Verschleiß und sparen sich sogar die Erhaltungsinvestitionen .","Aber [START] nicht nur diese lebenswichtigen Zukunftsinvestitionen [END] sparen [START] sich [END] [START] Bund [END] , [START] Länder [END] und [START] Gemeinden [END] – [START] den Gemeinden [END] wird [START] es [END] mehr aufgezwungen – , [START] Bundes- und Landesregierung [END] fahren [START] auch die bestehende öffentliche Infrastruktur [END] auf [START] Verschleiß [END] und sparen [START] sich [END] [START] sogar die Erhaltungsinvestitionen [END] .","['O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'B', 'B', 'I', 'I', 'O']","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Das sind Ihre Freunde !,[START] Das [END] sind [START] Ihre Freunde [END] !,"['B', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 1, 1, 0]",
Sie brauchen da keine zusätzlichen Risiken und Nebenwirkungen .,[START] Sie [END] brauchen da [START] keine zusätzlichen Risiken [END] und [START] Nebenwirkungen [END] .,"['B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'O']","[0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",
Halten wir die nächsten 20 Jahre die Schnauze darüber .,Halten [START] wir [END] [START] die nächsten 20 Jahre [END] [START] die Schnauze [END] darüber .,"['O', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'O', 'O']","[1, 0, 0]",,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
Die Leute da draußen haben nämlich vertrauensvoll gewartet .,[START] Die Leute [END] da draußen haben nämlich vertrauensvoll gewartet .,"['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[1],,"[1, 1, 0, 0, 0, 0, 0, 0, 0]",
"Wir haben dort im Verhältnis zur Gesamtbevölkerung eine eher unterdurchschnittliche Bereitschaft , sich impfen zu lassen .","[START] Wir [END] haben dort im [START] Verhältnis [END] zur [START] Gesamtbevölkerung [END] [START] eine eher unterdurchschnittliche Bereitschaft [END] , [START] sich [END] impfen zu lassen .","['B', 'O', 'O', 'O', 'B', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[1, 0, 0, 0, 0]",,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Schon im Juli dieses Jahres gab es ein Foto von einer Steinschleuder mit dem Hashtag „ Neuerwerb !,Schon im [START] Juli [END] [START] dieses Jahres [END] gab es [START] ein Foto [END] von [START] einer Steinschleuder [END] mit [START] dem Hashtag „ Neuerwerb [END] !,"['O', 'O', 'B', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O']","[0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
Meine sehr verehrten Damen und Herren !,[START] Meine sehr verehrten Damen [END] und [START] Herren [END] !,"['B', 'I', 'I', 'I', 'O', 'B', 'O']","[1, 1]",,"[1, 1, 1, 1, 0, 1, 0]",
"20 Prozent sind immunisiert , das wären 3 Millionen Menschen .","[START] 20 Prozent [END] sind immunisiert , [START] das [END] wären [START] 3 Millionen Menschen [END] .","['B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'O']","[0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",
