Sentence,Tagged_Sentence,BIO_tags,Animated_NP,Animated_Prob_NP,Animated_Token,Animated_Prob_Token
Frau Präsidentin !,[START] Frau Präsidentin [END] !,"['B', 'I', 'O']",[1],,"[1, 1, 0]",
Meine sehr verehrten Damen und Herren !,[START] Meine sehr verehrten Damen [END] und [START] Herren [END] !,"['B', 'I', 'I', 'I', 'O', 'B', 'O']","[1, 1]",,"[1, 1, 1, 1, 0, 1, 0]",
Am vergangenen Montag fand ich vor meinem Büro in Bautzen einen großen Blutfleck .,Am [START] vergangenen Montag [END] fand [START] ich [END] vor [START] meinem Büro [END] in [START] Bautzen [END] [START] einen großen Blutfleck [END] .,"['O', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'O']","[0, 1, 0, 0, 0]",,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Dahinter steckte eine geschmacklose Aktion , die sich nicht nur gegen mich , sondern auch gegen die Büros von CDU , SPD und Grünen richtete .","Dahinter steckte [START] eine geschmacklose Aktion [END] , [START] die [END] [START] sich [END] nicht nur gegen [START] mich [END] , sondern auch gegen [START] die Büros [END] von [START] CDU [END] , [START] SPD [END] und [START] Grünen [END] richtete .","['O', 'O', 'B', 'I', 'I', 'O', 'B', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'B', 'O', 'B', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 1, 1, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",
"Auf Twitter bekannte sich die sogenannte Identitäre Bewegung dazu , eine Bewegung , die der AfD-Bundestagsabgeordnete Petr Bystron für eine – Zitat – „ tolle Organisation “ und eine „ Vorfeldorganisation der AfD “ hält .","Auf [START] Twitter [END] bekannte [START] sich [END] [START] die sogenannte Identitäre Bewegung [END] dazu , [START] eine Bewegung [END] , [START] die [END] [START] der AfD-Bundestagsabgeordnete Petr Bystron [END] für [START] eine – Zitat [END] – [START] „ tolle Organisation [END] “ und [START] eine „ Vorfeldorganisation [END] [START] der AfD [END] “ hält .","['O', 'B', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'O', 'O']","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1]",,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]",
Das sind Ihre Freunde !,[START] Das [END] sind [START] Ihre Freunde [END] !,"['B', 'O', 'B', 'I', 'O']","[0, 1]",,"[0, 0, 1, 1, 0]",
Der Vorfall am Montag war der 28 Angriff auf meine Büros im Landkreis Bautzen .,[START] Der Vorfall [END] am [START] Montag [END] war [START] der 28 Angriff [END] auf [START] meine Büros [END] im [START] Landkreis Bautzen [END] .,"['B', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","[0, 0, 0, 0, 1]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
"In der Vergangenheit ging es um Schmierereien mit der Aufschrift „ Judenbüro “ , um Hakenkreuze , um zerschlagene Fensterscheiben , um Farban­schläge , Hausfriedensbruch , aber auch persönliche Bedrohungen meiner Gäste , meiner Mitarbeiter und von mir persönlich .","In [START] der Vergangenheit [END] ging es um [START] Schmierereien [END] mit [START] der Aufschrift „ Judenbüro [END] “ , um [START] Hakenkreuze [END] , um [START] zerschlagene Fensterscheiben [END] , [START] um Farban­schläge [END] , [START] Hausfriedensbruch [END] , aber [START] auch persönliche Bedrohungen [END] [START] meiner Gäste [END] , [START] meiner Mitarbeiter [END] und von [START] mir [END] persönlich .","['O', 'B', 'I', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",
Nur in einem einzigen Fall kam es zu einer Festnahme .,Nur in [START] einem einzigen Fall [END] kam es zu [START] einer Festnahme [END] .,"['O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O']","[0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
"Das , meine Damen und Herren , ist erschreckend .","[START] Das [END] , [START] meine Damen [END] und [START] Herren [END] , ist erschreckend .","['B', 'O', 'B', 'I', 'O', 'B', 'O', 'O', 'O', 'O']","[0, 1, 1]",,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",
